"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"149","cartyja01",1969,"Jay Carty",27,"LAL","PF",28,192,34,89,0.382,8,11,0.727,58,11,31,76,0,"",0
"150","hamilde01",1969,"Dennis Hamilton",24,"ATL","PF",25,141,37,67,0.552,2,5,0.4,29,8,19,76,0,"",0
"151","johnsri01",1969,"Rich Johnson",22,"BOS","C",31,163,29,76,0.382,11,23,0.478,52,7,40,69,0,"",0
"152","lehmage01",1969,"George Lehmann",27,"ATL","PG",11,138,26,67,0.388,8,12,0.667,9,27,18,60,0,"",0
"153","raymocr01",1969,"Craig Raymond",23,"PHI","C",27,177,22,64,0.344,11,17,0.647,68,8,46,55,0,"",0
"154","workmto01",1969,"Tom Workman",24,"BAL","",21,86,22,54,0.407,9,15,0.6,27,2,16,53,0,"",0
"155","paulkch01",1969,"Charlie Paulk",22,"MIL","PF",17,217,19,84,0.226,13,23,0.565,78,3,26,51,0,"",0
"156","allenbo01",1969,"Bob Allen",22,"SFW","PF",27,232,14,43,0.326,20,36,0.556,56,10,27,48,0,"",0
"157","barneha01",1969,"Harry Barnes",23,"SDR","SF",22,126,18,64,0.281,7,13,0.538,26,5,25,43,0,"",0
"158","grahama01",1969,"Mal Graham",23,"BOS","PG",22,103,13,55,0.236,11,14,0.786,24,14,27,37,0,"",0
"159","lottpl01",1969,"Plummer Lott",23,"SEA","SF",23,160,17,66,0.258,2,5,0.4,30,7,9,36,0,"",0
"160","olsenbu01",1969,"Bud Olsen",28,"2TM","PF",17,113,15,42,0.357,4,18,0.222,25,11,14,34,0,"",0
"161","ferrybo01",1969,"Bob Ferry",31,"BAL","C",7,36,5,14,0.357,3,6,0.5,9,4,3,13,0,"",0
"162","knowlro01",1969,"Rod Knowles",22,"PHO","",8,40,4,14,0.286,1,3,0.333,9,0,10,9,0,"",0
"163","milleja01",1969,"Jay Miller",25,"MIL","SF",3,27,2,10,0.2,5,7,0.714,2,0,4,9,0,"",0
"164","walledw01",1969,"Dwight Waller",23,"ATL","",11,29,2,9,0.222,3,7,0.429,10,1,8,7,0,"",0
"165","wilbuke01",1969,"Ken Wilburn",24,"CHI","SF",4,14,3,8,0.375,1,4,0.25,3,1,1,7,0,"",0
"166","biedeed01",1969,"Ed Biedenbach",23,"PHO","",7,18,0,6,0,4,6,0.667,2,3,1,4,0,"",0
"167","simsdo01",1969,"Doug Sims",25,"CIN","",4,12,2,5,0.4,0,0,NA,4,0,4,4,0,"",0
"168","willicl01",1969,"Cliff Williams",23,"DET","",3,18,2,9,0.222,0,0,NA,3,2,7,4,0,"",0
"169","westje01",1969,"Jerry West",30,"LAL","SG",18,757,196,423,0.463,164,204,0.804,71,135,52,556,1,"Finals MVP-1",1
"170","havlijo01",1969,"John Havlicek",28,"BOS","SG",18,850,170,382,0.445,118,138,0.855,179,100,58,458,2,"",1
"171","jonessa01",1969,"Sam Jones",35,"BOS","SG",18,514,124,296,0.419,55,69,0.797,58,37,45,303,0,"",1
"172","bayloel01",1969,"Elgin Baylor",34,"LAL","SF",18,640,107,278,0.385,63,100,0.63,166,74,56,277,1,"",1
"173","howelba01",1969,"Bailey Howell",32,"BOS","PF",18,551,112,229,0.489,46,64,0.719,118,19,84,270,0,"",1
"174","reedwi01",1969,"Willis Reed",26,"NYK","C",10,429,101,198,0.51,55,70,0.786,141,19,40,257,0,"",1
"175","eganjo01",1969,"Johnny Egan",30,"LAL","PG",18,571,94,217,0.433,63,80,0.788,44,70,55,251,0,"",1
"176","chambwi01",1969,"Wilt Chamberlain",32,"LAL","C",18,832,96,176,0.545,58,148,0.392,444,46,56,250,0,"",1
"177","beatyze01",1969,"Zelmo Beaty",29,"ATL","C",11,473,102,236,0.432,43,64,0.672,142,25,47,247,0,"",1
"178","hudsolo01",1969,"Lou Hudson",24,"ATL","SF",11,424,101,216,0.468,40,52,0.769,59,32,43,242,0,"",1
"179","nelsodo01",1969,"Don Nelson",28,"BOS","SF",18,348,87,168,0.518,50,60,0.833,83,21,51,224,0,"",1
"180","fraziwa01",1969,"Walt Frazier",23,"NYK","PG",10,415,89,177,0.503,34,57,0.596,74,91,30,212,1,"",1
"181","countme01",1969,"Mel Counts",27,"LAL","PF",18,442,74,192,0.385,54,71,0.761,143,26,67,202,0,"",1
"182","siegfla01",1969,"Larry Siegfried",29,"BOS","PG",18,392,72,172,0.419,55,70,0.786,38,46,60,199,0,"",1
"183","bryanem01",1969,"Em Bryant",30,"BOS","PG",18,607,79,193,0.409,40,53,0.755,88,54,75,198,0,"",1
"184","russebi01",1969,"Bill Russell",34,"BOS","C",18,829,77,182,0.423,41,81,0.506,369,98,65,195,0,"",1
"185","bridgbi01",1969,"Bill Bridges",29,"ATL","PF",11,442,69,156,0.442,34,48,0.708,178,37,48,172,0,"",1
"186","barnedi01",1969,"Dick Barnett",32,"NYK","SG",10,402,65,163,0.399,37,54,0.685,35,27,32,167,0,"",1
"187","debusda01",1969,"Dave DeBusschere",28,"NYK","PF",10,419,61,174,0.351,41,50,0.82,148,33,43,163,0,"",1
"188","caldwjo01",1969,"Joe Caldwell",27,"ATL","SG",11,404,65,134,0.485,32,69,0.464,55,37,40,162,0,"",1
