"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards"
"180","smithgr01",1975,"Greg Smith",28,"POR","SF",55,NA,519,71,146,0.486,32,48,0.667,29,60,89,27,22,6,96,174,0,""
"181","stacoke01",1975,"Kevin Stacom",23,"BOS","SG",61,NA,447,72,159,0.453,29,33,0.879,30,25,55,49,11,3,65,173,0,""
"182","darkje01",1975,"Jesse Dark",23,"NYK","SG",47,0,401,74,157,0.471,22,40,0.55,15,22,37,30,3,1,48,170,0,""
"183","kuberst01",1975,"Steve Kuberski",27,"MIL","SF",59,NA,517,62,159,0.39,44,56,0.786,52,71,123,35,11,3,59,168,0,""
"184","mcdongl01",1975,"Glenn McDonald",22,"BOS","SF",62,NA,395,70,182,0.385,28,37,0.757,20,48,68,24,8,5,58,168,0,""
"185","dantomi01",1975,"Mike D'Antoni",23,"KCO","SG",67,NA,759,69,173,0.399,28,36,0.778,13,64,77,107,67,12,106,166,0,""
"186","durreke01",1975,"Ken Durrett",26,"2TM","SF",48,0,445,67,166,0.404,31,52,0.596,35,67,102,18,9,8,72,165,0,""
"187","briskjo01",1975,"John Brisker",27,"SEA","SG",21,NA,276,60,141,0.426,42,49,0.857,15,18,33,19,7,3,33,162,0,""
"188","norwowi01",1975,"Willie Norwood",27,"DET","SF",24,NA,347,64,123,0.52,31,42,0.738,31,57,88,16,23,0,51,159,0,""
"189","bellde01",1975,"Dennis Bell",23,"NYK","SF",52,0,465,68,181,0.376,20,36,0.556,48,57,105,25,22,9,54,156,0,""
"190","rikerto01",1975,"Tom Riker",24,"NYK","C",51,1,483,53,147,0.361,46,82,0.561,40,67,107,19,15,5,64,152,0,""
"191","kozelto01",1975,"Tom Kozelko",23,"WSB","PF",73,NA,754,60,167,0.359,31,36,0.861,50,90,140,41,28,5,125,151,0,""
"192","williro01",1975,"Ron Williams",30,"MIL","PG",46,NA,526,62,165,0.376,24,29,0.828,10,33,43,71,23,2,70,148,0,""
"193","johnsmi01",1975,"Mickey Johnson",22,"CHI","PF",38,3,291,53,118,0.449,37,58,0.638,32,62,94,20,10,11,57,143,0,""
