"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"413","garceru01",2001,"Rubén Garcés",27,"2TM","PF",13,0,73,7,22,0.318,0,0,NA,7,22,0.318,0.318,2,8,0.25,16,13,29,5,3,2,5,14,16,""
"414","colsose01",2001,"Sean Colson",25,"2TM","PG",13,0,44,6,24,0.25,1,5,0.2,5,19,0.263,0.271,2,4,0.5,2,4,6,10,1,0,2,6,15,""
"415","perduwi01",2001,"Will Perdue",35,"POR","C",13,0,58,6,9,0.667,0,0,NA,6,9,0.667,0.667,2,4,0.5,6,12,18,2,3,2,0,8,14,""
"416","pricebr01",2001,"Brent Price",32,"VAN","PG",6,0,30,3,11,0.273,1,4,0.25,2,7,0.286,0.318,6,7,0.857,1,3,4,5,2,0,4,8,13,""
"417","reddmi01",2001,"Michael Redd",21,"MIL","SG",6,0,35,5,19,0.263,0,3,0,5,16,0.313,0.263,3,6,0.5,3,1,4,1,1,0,1,2,13,""
"418","thomaja01",2001,"Jamel Thomas",27,"NJN","SF",5,0,56,6,19,0.316,1,3,0.333,5,16,0.313,0.342,0,0,NA,4,5,9,0,3,0,6,6,13,""
"419","grantga01",2001,"Gary Grant",35,"POR","PG",4,0,17,5,7,0.714,0,0,NA,5,7,0.714,0.714,0,0,NA,0,0,0,1,0,0,0,1,10,""
"420","reidjr01",2001,"J.R. Reid",32,"CLE","PF",6,0,39,2,5,0.4,0,0,NA,2,5,0.4,0.4,6,8,0.75,5,3,8,1,2,1,1,4,10,""
"421","robinja02",2001,"James Robinson",30,"ORL","PG",6,0,50,4,11,0.364,2,5,0.4,2,6,0.333,0.455,0,0,NA,0,8,8,0,4,1,4,5,10,""
"422","hamilze01",2001,"Zendon Hamilton",25,"LAC","C",3,0,19,2,9,0.222,0,0,NA,2,9,0.222,0.222,5,8,0.625,3,5,8,0,0,0,2,4,9,""
"423","bohanet01",2001,"Etdrick Bohannon",27,"CLE","PF",6,0,19,2,4,0.5,0,0,NA,2,4,0.5,0.5,4,4,1,3,4,7,0,0,2,1,4,8,""
"424","hawkimi01",2001,"Michael Hawkins",28,"CLE","PG",10,0,76,3,9,0.333,2,4,0.5,1,5,0.2,0.444,0,0,NA,2,3,5,13,2,0,6,13,8,""
