"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd"
"81","1949-1950","Ron Livingstone (livinro01)",24,"PHW","",2,6,16,0.375,6,16,0.375,NA,4,7,0.571,NA,5,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561163422455524,0,-0.997941792486401,0.124385052424647,NA
"82","1949-1950","Bones McKinney (mckinbo01)",31,"WSC","SF",2,6,22,0.273,6,22,0.273,NA,4,5,0.8,NA,3,11,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.47240029412365,0,0.432184433938285,-2.51261615430902,NA
"83","1949-1950","Jack Coleman (colemja01)",25,"ROC","PF",2,7,20,0.35,7,20,0.35,NA,1,1,1,NA,4,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201454278069405,0,0.286436886787657,0.689345442926467,NA
"84","1949-1950","Bob Davies (daviebo01)",30,"ROC","PG",2,4,17,0.235,4,17,0.235,NA,7,8,0.875,NA,9,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.78376386364101,0,1.29149509430126,-2.27603263298076,NA
"85","1949-1950","Joe Fulks (fulksjo01)",28,"PHW","PF",2,5,26,0.192,5,26,0.192,NA,5,10,0.5,NA,2,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.84610943850977,0,-2.13563113212343,-9.82785000914298,NA
"86","1949-1950","Dick O'Keefe (okeefdi01)",26,"WSC","",2,4,13,0.308,4,13,0.308,NA,7,8,0.875,NA,5,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.415054719254886,0,1.29149509430126,0.461385655791483,NA
"87","1949-1950","Mal McMullen (mcmulma01)",22,"INO","",6,4,21,0.19,4,21,0.19,NA,6,9,0.667,NA,9,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.14847300802712,0,-0.419068018911087,-6.71601403496534,NA
"88","1949-1950","George Senesky (senesge01)",27,"PHW","PG",2,6,16,0.375,6,16,0.375,NA,2,4,0.5,NA,3,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561163422455524,0,-0.854252452849372,0.268074392061677,NA
"89","1949-1950","Dick Schulz (schuldi01)",33,"SHE","",3,1,9,0.111,1,9,0.111,NA,10,10,1,NA,2,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.06034557486877,0,2.86436886787657,-1.25632228186097,NA
"90","1949-1950","Gene Englund (engluge01)",32,"TRI","",2,1,5,0.2,1,5,0.2,NA,9,11,0.818,NA,1,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.699636430482649,0,1.14880575466423,-0.250467106301071,NA
"91","1949-1950","Dee Gibson (gibsode01)",26,"TRI","",3,4,11,0.364,4,11,0.364,NA,3,5,0.6,NA,2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264799852938173,0,-0.567815566061715,-0.0382158601853693,NA
"92","1949-1950","Jake Carter (carteja01)",25,"AND","",8,3,21,0.143,3,21,0.143,NA,4,6,0.667,NA,3,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.13547300802712,0,-0.279378679274058,-8.55032469532831,NA
"93","1949-1950","Leo Mogus (mogusle01)",28,"PHW","",2,3,18,0.167,3,18,0.167,NA,4,7,0.571,NA,7,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.11269114973753,0,-0.997941792486401,-7.22332409196147,NA
"94","1949-1950","Stan Patrick (patrist01)",27,"SHE","",3,4,7,0.571,4,7,0.571,NA,2,3,0.667,NA,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61750899732429,0,-0.139689339637029,3.09532865501155,NA
"95","1949-1950","Jack Phelan (phelaja01)",24,"SHE","",3,4,10,0.4,4,10,0.4,NA,2,3,0.667,NA,3,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.600727139034703,0,-0.139689339637029,1.06176493843238,NA
"96","1949-1950","Murray Wier (wiermu01)",23,"TRI","",3,3,9,0.333,3,9,0.333,NA,4,8,0.5,NA,0,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0623455748687674,0,-1.70850490569874,-1.83319605543628,NA
"97","1949-1950","Curly Armstrong (armstcu01)",31,"FTW","",3,4,22,0.182,4,22,0.182,NA,1,4,0.25,NA,6,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.47440029412365,0,-1.85425245284937,-8.80305304109668,NA
"98","1949-1950","Bobby Cook (cookbo01)",26,"SHE","",3,3,10,0.3,3,10,0.3,NA,3,6,0.5,NA,6,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.399272860965297,0,-1.28137867927406,-2.07992440120465,NA
"99","1949-1950","Bob Feerick (feeribo01)",30,"WSC","",2,3,12,0.25,3,12,0.25,NA,3,4,0.75,NA,6,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07912743315836,0,0.145747547150628,-2.01250731916609,NA
"100","1949-1950","Billy Hassett (hassebi01)",28,"MNL","",7,3,12,0.25,3,12,0.25,NA,3,10,0.3,NA,4,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.07912743315836,0,-4.13563113212343,-6.29388599844014,NA
"101","1949-1950","Bill Henry (henrybi01)",25,"TRI","",3,2,17,0.118,2,17,0.118,NA,5,9,0.556,NA,5,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.77276386364101,0,-1.41806801891109,-8.9635957461931,NA
"102","1949-1950","Duane Klueh (kluehdu01)",24,"FTW","",2,2,10,0.2,2,10,0.2,NA,5,5,1,NA,3,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3992728609653,0,1.43218443393828,-1.36636128799231,NA
"103","1949-1950","Red Holzman (holzmre01)",29,"ROC","PG",2,3,9,0.333,3,9,0.333,NA,1,2,0.5,NA,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0623455748687674,0,-0.427126226424686,-0.551817376162221,NA
"104","1949-1950","Andy Duncan (duncaan01)",27,"ROC","",2,2,3,0.667,2,3,0.667,NA,2,2,1,NA,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981218141710411,0,0.572873773575314,2.53531005699614,NA
"105","1949-1950","Al Guokas (guokaal01)",24,"PHW","",2,2,4,0.5,2,4,0.5,NA,2,6,0.333,NA,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640290855613881,0,-2.28337867927406,-1.0027969680463,NA
"106","1949-1950","Leo Katkaveck (katkale01)",26,"WSC","",2,2,13,0.154,2,13,0.154,NA,2,3,0.667,NA,3,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.41705471925489,0,-0.139689339637029,-4.9737987781468,NA
"107","1949-1950","Fran Curran (currafr01)",27,"ROC","",2,2,7,0.286,2,7,0.286,NA,1,1,1,NA,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.377491002675708,0,0.286436886787657,-0.468545118563759,NA
"108","1949-1950","Walt Kirk (kirkwa01)",25,"TRI","PG",3,2,7,0.286,2,7,0.286,NA,1,6,0.167,NA,1,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.377491002675708,0,-3.27937867927406,-4.03436068462547,NA
"109","1949-1950","Frank Kudelka (kudelfr01)",24,"CHS","",2,2,10,0.2,2,10,0.2,NA,1,2,0.5,NA,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3992728609653,0,-0.427126226424686,-3.22567194835528,NA
"110","1949-1950","Stan Miasek (miasest01)",26,"CHS","",1,2,4,0.5,2,4,0.5,NA,1,1,1,NA,0,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640290855613881,0,0.286436886787657,1.56701859801542,NA
"111","1949-1950","Hook Dillon (dilloho01)",26,"WSC","",1,1,1,1,1,1,1,NA,2,2,1,NA,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66007271390347,0,0.572873773575314,1.89301920138225,NA
"112","1949-1950","Paul Noel (noelpa01)",25,"NYK","",5,1,7,0.143,1,7,0.143,NA,1,3,0.333,NA,1,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37849100267571,0,-1.14168933963703,-3.89867134498845,NA
"113","1949-1950","Nelson Bobb (bobbne01)",25,"PHW","PG",2,1,3,0.333,1,3,0.333,NA,0,0,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0207818582895891,0,0,-0.0415637165791782,NA
"114","1949-1950","Jake Bornheimer (bornhja01)",22,"PHW","",2,1,3,0.333,1,3,0.333,NA,0,0,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0207818582895891,0,0,-0.0415637165791782,NA
"115","1949-1950","Harry Donovan (donovha01)",23,"NYK","",3,0,4,0,0,4,0,NA,2,2,1,NA,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35970914438612,0,0.572873773575314,-2.14654451519692,NA
"116","1949-1950","Bob Evans (evansbo01)",24,"INO","",2,1,4,0.25,1,4,0.25,NA,0,0,NA,NA,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359709144386119,0,0,-0.719418288772238,NA
"117","1949-1950","Jerry Fleishman (fleisje01)",27,"PHW","SG",2,1,3,0.333,1,3,0.333,NA,0,1,0,NA,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0207818582895891,0,-0.713563113212343,-0.755126829791521,NA
"118","1949-1950","Gene James (jamesge01)",24,"NYK","",1,1,3,0.333,1,3,0.333,NA,0,0,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0207818582895891,0,0,-0.0415637165791782,NA
"119","1949-1950","Warren Perkins (perkiwa01)",27,"TRI","",2,1,1,1,1,1,1,NA,0,0,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66007271390347,0,0,1.32014542780694,NA
"120","1949-1950","Tony Jaros (jarosto01)",29,"MNL","",2,0,3,0,0,3,0,NA,1,2,0.5,NA,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01978185828959,0,-0.427126226424686,-2.46668994300386,NA
"121","1949-1950","Leo Klier (klierle01)",26,"FTW","",2,0,3,0,0,3,0,NA,1,1,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01978185828959,0,0.286436886787657,-1.75312682979152,NA
"122","1949-1950","Joe Graboski (grabojo01)",20,"CHS","",1,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
"123","1949-1950","Marshall Hawkins (hawkima01)",25,"INO","",2,0,1,0,0,1,0,NA,0,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33992728609653,0,0,-0.679854572193059,NA
"124","1949-1950","Kenny Rollins (rollike01)",26,"CHS","PG",2,0,3,0,0,3,0,NA,0,0,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01978185828959,0,0,-2.03956371657918,NA
"125","1949-1950","Butch van Breda Kolff (vanbrbu01)",27,"NYK","",1,0,0,NA,0,0,NA,NA,0,0,NA,NA,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
"126","1950-1951","Arnie Risen (risenar01)",26,"ROC","C",14,93,239,0.389,93,239,0.389,NA,87,135,0.644,196,33,59,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4694425153772,0,-11.9645685679372,2.97431646281715,NA
"127","1950-1951","Max Zaslofsky (zasloma01)",25,"NYK","SG",14,88,217,0.406,88,217,0.406,NA,74,100,0.74,58,38,43,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4708787691919,0,0.737356616342777,21.6791141547265,NA
"128","1950-1951","Bob Davies (daviebo01)",31,"ROC","PG",14,79,234,0.338,79,234,0.338,NA,64,80,0.8,43,75,45,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.62082197239219,0,5.38988529307423,-3.85175865171016,NA
"129","1950-1951","Vince Boryla (borylvi01)",23,"NYK","SF",14,83,193,0.43,83,193,0.43,NA,51,56,0.911,52,37,42,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9448092278987,0,9.98891970515196,37.8785381609494,NA
"130","1950-1951","Bobby Wanzer (wanzebo01)",29,"ROC","",14,57,121,0.471,57,121,0.471,NA,61,67,0.91,71,59,45,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7036006040194,0,11.8840289329497,39.2912301409885,NA
