"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd","vaPTSv","vaAST","vaSTL","vaBLK","vaTOV","vaDRB","vaORB"
"7796","2008-2009","Erick Dampier (dampier01)",33,"DAL","C",10,22,36,0.611,22,36,0.611,0.611,13,21,0.619,61,7,41,57,"",10,255,0,0,NA,25,36,4,9,19,4.53204157285594,0,-3.17116391937187,5.89291922634001,-53.6383391183068,-48.1791849525837,-16.3366709581164,-3.44087568519388,2.72169291858303,-4.61603524839286,1.03248007204376,9.28733550901323
"7797","2008-2009","James Posey (poseyja01)",32,"NOH","SG",5,15,40,0.375,10,21,0.476,0.438,22,26,0.846,31,3,12,57,"",0,123,5,19,0.263,5,26,3,0,10,-0.1913090825007,-1.95843158026703,1.97579705220625,-4.28211585359625,-9.39510880592034,6.26651078757727,-8.29042605043272,-0.651254580839392,-1.68798770112966,-3.01338012100678,2.66312767664745,-0.399582963140259
"7798","2008-2009","Peja Stojaković (stojape01)",31,"NOH","SF",5,18,49,0.367,10,23,0.435,0.449,12,13,0.923,14,2,17,56,"",5,162,8,26,0.308,4,10,4,1,6,-1.15252899511981,-1.50995900457594,1.98889852610313,-4.84603647786432,-33.1543147453321,-10.8197174992885,-13.0460919325218,-0.811800183007658,-1.53196113412219,2.78577154101404,-2.57108513166323,-2.31339392787844
"7799","2008-2009","Andrei Kirilenko (kirilan01)",27,"UTA","PF",5,22,47,0.468,21,42,0.5,0.479,10,14,0.714,14,10,6,55,"",3,136,1,5,0.2,7,7,11,3,5,0.625381834998601,-0.830376731649219,-0.784109279581249,-2.0244758045317,2.16331354763445,-1.09556530804465,-1.88169478104332,6.51699968948848,0.207333633368225,2.37356018002437,-2.50822252921579,0.57537846758882
"7800","2008-2009","Travis Outlaw (outlatr01)",24,"POR","SF",6,21,66,0.318,17,50,0.34,0.348,8,12,0.667,18,3,10,54,"",0,170,4,16,0.25,2,16,5,4,5,-7.25549781547785,-1.8572055412775,-1.2360936682125,-21.3187059230007,-50.929844732571,-16.1194566350558,-12.7079215243698,-0.0959872844471814,0.431977586600474,4.14441263878872,-1.31750196353747,-3.9466616275492
"7801","2008-2009","Rasual Butler (butlera01)",29,"NOH","SF",5,17,37,0.459,7,18,0.389,0.595,9,9,1,15,1,14,53,"",5,158,10,19,0.526,3,12,1,4,6,-1.72997921357203,3.03856841973297,2.06992974884063,7.72567658089547,-23.3784093370908,-12.1698479314048,-13.7602194022855,-3.52463145980441,0.596659313539953,2.57743595763,-1.94423795849697,-2.87924443716461
"7802","2008-2009","Richard Hamilton (hamilri01)",30,"DET","SG",4,21,59,0.356,19,49,0.388,0.373,9,10,0.9,11,20,12,53,"",4,154,2,10,0.2,2,9,5,1,10,-4.7583878591683,-1.66075346329844,1.29992194315625,-13.1991141650757,-24.8724991476479,-10.5199783635211,7.3273437554575,0.356326780445072,-1.42217331616254,-1.39877934978046,-2.57102954255985,-3.44509494645077
"7803","2008-2009","Kyle Korver (korveky01)",27,"UTA","SF",5,18,46,0.391,6,20,0.3,0.522,5,7,0.714,11,13,9,53,"",2,136,12,26,0.462,2,9,3,1,2,-3.70219912619114,2.49404099542406,-0.392054639790624,-0.314329905900732,-3.90337636867536,-3.09556530804465,1.38855881308268,-1.01875975856435,-1.17515072575332,5.19946997304419,-2.00676702632413,-2.88083243021505
"7804","2008-2009","Stephon Marbury (marbust01)",31,"BOS","PG",14,20,66,0.303,17,54,0.315,0.326,9,9,1,13,25,15,52,"",0,166,3,12,0.25,2,11,1,0,10,-9.18593764071608,-1.39290415595813,2.06992974884063,-20.4806580004659,-38.3700271624472,-16.4695870671721,11.6498952274992,-3.75078849225053,-2.27809722266279,-0.773772599628336,-2.44574905049201,-3.82126995727459
"7805","2008-2009","Antonio McDyess (mcdyean01)",34,"DET","PF",4,23,44,0.523,23,44,0.523,0.523,6,6,1,34,2,17,52,"",4,136,0,0,NA,6,28,2,3,5,1.66716192237949,0,1.37995316589375,4.71427701065273,-6.72229866644155,-4.09556530804465,-10.602371032046,-1.96072968957095,0.207333633368225,2.37356018002437,2.75706025114664,-0.115863711971953
"7806","2008-2009","Ronnie Brewer (brewero02)",23,"UTA","SF",5,20,49,0.408,20,47,0.426,0.408,11,16,0.688,23,13,9,51,"",5,158,0,2,0,7,16,7,1,11,-2.77816794654918,-0.732150692659688,-1.31212489095,-9.06491286202743,-26.4518612871591,-14.1698479314048,-0.679205025781483,2.12718812623522,-1.47706722514237,-2.13241369740302,-0.941326952713649,-0.114275718921511
